order,location_name,direction_gresham,direction_hillsboro
1,Hatfield Government Center,S,S
2,Hillsboro Central/SE 3rd TC,E,W
3,Tuality Hospital/SE 8th Ave,E,W
4,Washington/SE 12th Ave,E,W
5,Fair Complex/Hillsboro Airport,E,W
6,Hawthorn Farm,E,W
7,Orenco,E,W
8,Quatama,E,W
9,Willow Creek/SW 185th Ave TC,E,W
10,Elmonica/SW 170th Ave,E,W
11,Merlo Rd/SW 158th Ave,E,W
12,Beaverton Creek,E,W
13,Millikan Way,E,W
14,Beaverton Central,E,W
15,Beaverton TC,E,W
16,Sunset TC,E,W
17,Washington Park,E,W
18,Goose Hollow/SW Jefferson St,E,W
19,Kings Hill/SW Salmon St,E,W
20,Providence Park,E,W
21,Galleria/SW 10th Ave,E,W
23,Pioneer Square North,E,W
24,Mall/SW 5th Ave,E,W
26,Morrison/SW 3rd Ave,E,W
28,Oak/ SW 1st Ave,N,S
29,Skidmore Fountain,N,S
30,Old Town/Chinatown,N,S
31,Rose Quarter TC,E,W
32,Convention Center,E,W
33,NE 7th Ave,E,W
34,Lloyd Center/NE 11th Ave,E,W
35,Hollywood/NE 42nd Ave TC,E,W
36,NE 60th Ave,E,W
37,NE 82nd Ave,E,W
38,Gateway/NE 99th Ave TC,S,N
39,E 102nd Ave,E,W
40,E 122nd Ave,E,W
41,E 148th Ave,E,W
42,E 162nd Ave,E,W
43,E 172nd Ave,E,W
44,E 181st Ave,E,W
45,Rockwood/E 188th Ave,E,W
46,Ruby Junction/E 197th Ave,E,W
47,Civic Drive,E,W
48,Gresham City Hall,E,W
49,Gresham Central TC,E,W
50,Cleveland Ave,W,W
