location_id,location_name,direction,ons,offs
11509, Albina/Mississippi ,N,110,204
11506, Albina/Mississippi ,S,198,87
9824, Beaverton Central ,E,430,427
9823, Beaverton Central ,W,392,417
9819, Beaverton Creek ,N,140,721
9822, Beaverton Creek ,S,756,122
9821, Beaverton TC ,N,2915,3221
9818, Beaverton TC ,S,1610,1720
10575, Cascades ,E,449,55
10574, Cascades ,W,53,468
7608, City Hall/SW 5th & Jefferson ,S,823,1380
13450, Civic Drive ,E,90,323
13449, Civic Drive ,W,324,83
13132, Clackamas Town Center TC ,N,2224,2397
8359, Cleveland Ave ,W,1013,1050
13713, Clinton St/SE 12th Ave ,E,142,338
13726, Clinton St/SE 12th Ave ,W,340,143
8341, Convention Center ,E,1022,875
8376, Convention Center ,W,1009,927
11516, Delta Park/Vanport ,N,75,1045
11499, Delta Park/Vanport ,S,984,43
8348, E 102nd Ave ,E,513,642
8369, E 102nd Ave ,W,672,551
8349, E 122nd Ave ,E,502,1138
8368, E 122nd Ave ,W,1182,512
8350, E 148th Ave ,E,191,657
8367, E 148th Ave ,W,630,207
8351, E 162nd Ave ,E,343,1080
8366, E 162nd Ave ,W,1097,378
8352, E 172nd Ave ,E,121,383
8365, E 172nd Ave ,W,387,123
8353, E 181st Ave ,E,218,727
8364, E 181st Ave ,W,763,235
9830, Elmonica/SW 170th Ave ,E,1110,261
9829, Elmonica/SW 170th Ave ,W,310,1119
11498, Expo Center ,S,605,620
9838, Fair Complex/Hillsboro Airport ,E,736,106
9837, Fair Complex/Hillsboro Airport ,W,111,740
8384, Galleria/SW 10th Ave ,W,1532,1582
8370, Gateway/NE 99th Ave TC ,N,3021,3561
8347, Gateway/NE 99th Ave TC ,S,3768,3559
10118, Goose Hollow/SW Jefferson St ,E,406,1379
10117, Goose Hollow/SW Jefferson St ,W,899,422
8357, Gresham Central TC ,E,70,923
8360, Gresham Central TC ,W,897,85
8356, Gresham City Hall ,E,75,508
8361, Gresham City Hall ,W,574,68
9848, Hatfield Government Center ,S,1088,948
9839, Hawthorn Farm ,E,276,96
9840, Hawthorn Farm ,W,91,283
9846, Hillsboro Central/SE 3rd TC ,E,751,51
9845, Hillsboro Central/SE 3rd TC ,W,43,889
8344, Hollywood/NE 42nd Ave TC ,E,1092,1597
8373, Hollywood/NE 42nd Ave TC ,W,1376,1131
11508, Interstate/Rose Quarter ,N,1248,481
11507, Interstate/Rose Quarter ,S,244,1280
11515, Kenton/N Denver Ave ,N,81,442
11500, Kenton/N Denver Ave ,S,502,93
9759, Kings Hill/SW Salmon St ,N,313,397
9820, Kings Hill/SW Salmon St ,S,314,333
13135, Lents/SE Foster Rd ,N,503,176
13128, Lents/SE Foster Rd ,S,161,502
8333, Library/SW 9th Ave ,E,1266,1817
13710, Lincoln St/SW 3rd Ave ,E,332,216
13729, Lincoln St/SW 3rd Ave ,W,250,402
8343, Lloyd Center/NE 11th Ave ,E,2006,2110
8374, Lloyd Center/NE 11th Ave ,W,1801,2265
8335, Mall/SW 4th Ave ,E,1169,1427
8382, Mall/SW 5th Ave ,W,1855,1674
9828, Merlo Rd/SW 158th Ave ,E,585,215
9827, Merlo Rd/SW 158th Ave ,W,216,610
9826, Millikan Way ,E,1083,390
9825, Millikan Way ,W,421,1024
13721, Milwaukie/Main St ,N,689,46
13718, Milwaukie/Main St ,S,56,693
8381, Morrison/SW 3rd Ave ,W,1366,1210
10576, Mt Hood Ave ,N,51,272
10577, Mt Hood Ave ,S,262,63
11512, N Killingsworth St ,N,268,752
11503, N Killingsworth St ,S,700,294
11514, N Lombard TC ,N,215,1139
11501, N Lombard TC ,S,1107,231
11511, N Prescott St ,N,165,467
11504, N Prescott St ,S,408,171
8345, NE 60th Ave ,E,460,1098
8372, NE 60th Ave ,W,1088,466
8342, NE 7th Ave ,E,1005,982
8375, NE 7th Ave ,W,952,1076
8346, NE 82nd Ave ,E,972,1423
8371, NE 82nd Ave ,W,1440,901
9303, NW 5th & Couch ,S,784,890
9299, NW 6th & Davis ,N,838,684
13712, OMSI/SE Water ,E,169,174
13727, OMSI/SE Water ,W,155,169
8337, Oak/ SW 1st Ave ,N,622,488
8380, Oak/ SW 1st Ave ,S,554,653
8339, Old Town/Chinatown ,N,1006,626
8378, Old Town/Chinatown ,S,612,1218
9835, Orenco ,E,918,299
9836, Orenco ,W,305,916
11510, Overlook Park ,N,123,436
11505, Overlook Park ,S,417,122
7606, PSU South/SW 5th & Jackson ,S,432,1413
10293, PSU South/SW 6th & College ,N,1005,436
7618, PSU Urban Center/SW 5th & Mill ,S,674,2410
7774, PSU Urban Center/SW 6th & Montgomery,N,2105,586
10572, Parkrose/Sumner TC ,N,165,894
10573, Parkrose/Sumner TC ,S,888,188
7777, Pioneer Courthouse/SW 6th Ave ,N,2269,2492
7646, Pioneer Place/SW 5th Ave ,S,2783,2360
8383, Pioneer Square North ,W,3038,1124
8334, Pioneer Square South ,E,1755,3472
10579, Portland Int'l Airport ,"2,",434,2221
9758, Providence Park ,E,1272,1021
9757, Providence Park ,W,1077,1704
9834, Quatama ,E,1147,255
9833, Quatama ,W,257,1070
8354, Rockwood/E 188th Ave ,E,195,636
8363, Rockwood/E 188th Ave ,W,695,191
11513, Rosa Parks ,N,145,591
11502, Rosa Parks ,S,548,147
8340, Rose Quarter TC ,E,2505,1405
8377, Rose Quarter TC ,W,1218,2337
8355, Ruby Junction/E 197th Ave ,E,232,500
8362, Ruby Junction/E 197th Ave ,W,318,148
13724, SE 17th Ave & Holgate Blvd ,N,378,85
13715, SE 17th Ave & Holgate Blvd ,S,102,356
13725, SE 17th Ave & Rhine St ,N,291,76
13714, SE 17th Ave & Rhine St ,S,102,293
13723, SE Bybee Blvd ,N,423,44
13716, SE Bybee Blvd ,S,46,456
13138, SE Division St ,N,444,244
13125, SE Division St ,S,232,481
13134, SE Flavel St ,N,431,101
13129, SE Flavel St ,S,113,392
13133, SE Fuller Rd ,N,377,47
13130, SE Fuller Rd ,S,49,401
13136, SE Holgate Blvd ,N,509,117
13127, SE Holgate Blvd ,S,123,494
13139, SE Main St ,N,511,315
13124, SE Main St ,S,351,515
13720, SE Park Ave ,N,1767,1767
13137, SE Powell Blvd ,N,642,181
13126, SE Powell Blvd ,S,158,765
13722, SE Tacoma/Johnson Creek ,N,694,52
13717, SE Tacoma/Johnson Creek ,S,55,682
7627, SW 5th & Oak ,S,1094,1490
13123, SW 6th & Madison ,N,1150,784
7787, SW 6th & Pine ,N,1444,1047
8338, Skidmore Fountain ,N,561,566
8379, Skidmore Fountain ,S,537,581
13711, South Waterfront/SW Moody ,E,600,501
13728, South Waterfront/SW Moody ,W,449,667
9969, Sunset TC ,E,2291,506
9624, Sunset TC ,W,606,2325
9843, Tuality Hospital/SE 8th Ave ,E,392,74
9844, Tuality Hospital/SE 8th Ave ,W,63,391
7601, Union Station/NW 5th & Glisan ,S,779,1093
7763, Union Station/NW 6th & Hoyt ,N,976,898
10120, Washington Park ,E,481,255
10121, Washington Park ,W,210,663
9841, Washington/SE 12th Ave ,E,363,114
9842, Washington/SE 12th Ave ,W,105,352
9831, Willow Creek/SW 185th Ave TC ,E,1263,484
9832, Willow Creek/SW 185th Ave TC ,W,539,1284
8336, Yamhill District ,E,1167,938
